term,score,,,,,,
aba,-1,,,,,,
abash,-1,,,,,,
abate,-2,,,,,,
abdicate,-2,,,,,,
abduct,-2,,,,,,
abject,-2,,,,,,
abnegate,-1,,,,,,
aboki,-1,,,,,,
abolish,-2,,,,,,
abomina,-2,,,,,,
abominable,-1,,,,,,
abortive,-1,,,,,,
abrasive,-2,,,,,,
abreast,1,,,,,,
abrupt,-1,,,,,,
abruptly,-1,,,,,,
abscond,-1,,,,,,
absence,-1,,,,,,
absent,-1,,,,,,
absolutely,-1,,,,,,
absorb,1,,,,,,
absorbed,-1,,,,,,
absurd,-1,,,,,,
abundantly,1,,,,,,
abuse,-2,,,,,,
abusive,-2,,,,,,
abyss,-2,,,,,,
acceptable,2,,,,,,
accessible,1,,,,,,
acclaim,1,,,,,,
accolade,2,,,,,,
accomplish,2,,,,,,
accost,-2,,,,,,
accountable,2,,,,,,
accurate,2,,,,,,
accurately,2,,,,,,
accursed,-2,,,,,,
accusation,-2,,,,,,
acerb,-2,,,,,,
ache,-2,,,,,,
achen,1,,,,,,
acher,1,,,,,,
acheson,1,,,,,,
acheta,1,,,,,,
aching,-2,,,,,,
acrid,-2,,,,,,
acrimon,-2,,,,,,
acrimonious,-2,,,,,,
active,1,,,,,,
adept,2,,,,,,
adequate,1,,,,,,
admir,1,,,,,,
admiral,1,,,,,,
admire,2,,,,,,
admoni,-2,,,,,,
ador,2,,,,,,
adorable,2,,,,,,
adoring,1,,,,,,
adorn,1,,,,,,
adorn,1,,,,,,
adroit,2,,,,,,
adulteror,-1,,,,,,
adultery,-1,,,,,,
advance,1,,,,,,
advers,-2,,,,,,
affab,2,,,,,,
affectation,-2,,,,,,
affected,-1,,,,,,
affection,2,,,,,,
affectionate,1,,,,,,
affiance,1,,,,,,
afflict,-2,,,,,,
affordable,1,,,,,,
afraid,-2,,,,,,
agbaya,-1,,,,,,
agbero,-1,,,,,,
aggress,-2,,,,,,
aggressive,-2,,,,,,
aggressively,-2,,,,,,
aggrieve,-2,,,,,,
aghast,-2,,,,,,
agitate,-1,,,,,,
agonis,-1,,,,,,
agoniz,-1,,,,,,
agony,-1,,,,,,
agreeab,1,,,,,,
aimless,-2,,,,,,
ajebo,-1,,,,,,
ajebutter,1,,,,,,
ajekpako,-1,,,,,,
akagum,-1,,,,,,
akonuche,1,,,,,,
akpruka,1,,,,,,
alarm,-1,,,,0,,
alarming,-1,,,1,801,,
alas,-1,,,2,338,,
alibi,-1,,,-1,1509,,
alien,-1,,,-2,1438,,
alienat,-1,,,Total,4086,,
align,1,,,,,,
alive ,1,,,,,,
allegation,-2,,,,,,
alleviate,1,,,,,,
alluviation,1,,,,,,
alluvion,-1,,,,,,
alol,2,,,,,,
alone,-1,,,,,,
aloof,-2,,,,,,
altercate,-1,,,,,,
altercation,-2,,,,,,
ambiguous,-2,,,,,,
ambitious,1,,,,,,
ambivalent,-2,,,,,,
amebo,-1,,,,,,
ameliorate,2,,,,,,
amicably,1,,,,,,
amiss,-2,,,,,,
amor,2,,,,,,
amoral,-1,,,,,,
amort,1,,,,,,
amour,2,,,,,,
amputate,-2,,,,,,
amus,2,,,,,,
amusing,1,,,,,,
anarchist,-2,,,,,,
anarchy,-2,,,,,,
angelic,2,,,,,,
anger,-2,,,,,,
angr,-2,,,,,,
angraecum,1,,,,,,
angrecum,1,,,,,,
angry,-2,,,,,,
anguish,-1,,,,,,
animal,-2,,,,,,
animosity,-2,,,,,,
annihilate,-1,,,,,,
annihilation,-2,,,,,,
annoy,-2,,,,,,
annoyance,-1,,,,,,
annoyed,-2,,,,,,
annoyingly,-2,,,,,,
anomalous,-2,,,,,,
anomaly,-2,,,,,,
ansa,1,,,,,,
anserine,-1,,,,,,
antagoni,-2,,,,,,
antipathy,-2,,,,,,
antiquated,-2,,,,,,
anti-social,-2,,,,,,
antitrust,-2,,,,,,
anxi,-1,,,,,,
anxious,-1,,,,,,
anyhow,-1,,,,,,
aok,2,,,,,,
apath,-2,,,,,,
aplomb,1,,,,,,
apologize,1,,,,,,
apologise ,1,,,,,,
appal,-1,,,,,,
appall,-1,,,,,,
appalling,-1,,,,,,
appease,1,,,,,,
applaud,2,,,,,,
applaudable,1,,,,,,
applause,2,,,,,,
appreciate,2,,,,,,
apprehens,-1,,,,,,
apprehension,-1,,,,,,
apprize,2,,,,,,
approachable,1,,,,,,
aproko,-1,,,,,,
arbitrary,-2,,,,,,
ardent,1,,,,,,
arduous,-2,,,,,,
argh,-1,,,,,,
argu,-1,,,,,,
argue,-1,,,,,,
argufy,-1,,,,,,
aroused,-1,,,,,,
arrant,1,,,,,,
arrest,-1,,,,,,
arrogan,-1,,,,,,
arrogant,-2,,,,,,
arsehole,-1,,,,,,
artful,-1,,,,,,
artificial,-1,,,,,,
ashawo,-1,,,,,,
ashawoquarter,-1,,,,,,
ashewo,-1,,,,,,
ashi,-1,,,,,,
ashy,-1,,,,,,
asinine,-2,,,,,,
asphyxiate,-1,,,,,,
assail,-1,,,,,,
assassin,-1,,,,,,
assassinate,-2,,,,,,
assault,-2,,,,,,
asshole,-2,,,,,,
assuage,1,,,,,,
assuredness,1,,,,,,
asswipe,-1,,,,,,
astonish,1,,,,,,
astound,1,,,,,,
astray,-2,,,,,,
asunder,-2,,,,,,
atrocious,-1,,,,,,
atrophy,-2,,,,,,
attachment,1,,,,,,
attack,-2,,,,,,
attain,1,,,,,,
attract,1,,,,,,
attractive,1,,,,,,
audacious,1,,,,,,
auster,-2,,,,,,
authorise,1,,,,,,
authorize,1,,,,,,
autocrat,-2,,,,,,
autocratic,-1,,,,,,
available,2,,,,,,
avaric,-1,,,,,,
avaricious,-1,,,,,,
avenge,-2,,,,,,
aversi,-1,,,,,,
