Version,Error Correction Level,Encoding Mode,Maximum Number of Characters
1,L,numeric,41
1,L,alphanumeric,25
1,L,byte,17
1,L,kanji,10
1,M,numeric,34
1,M,alphanumeric,20
1,M,byte,14
1,M,kanji,8
1,Q,numeric,27
1,Q,alphanumeric,16
1,Q,byte,11
1,Q,kanji,7
1,H,numeric,17
1,H,alphanumeric,10
1,H,byte,7
1,H,kanji,4
2,L,numeric,77
2,L,alphanumeric,47
2,L,byte,32
2,L,kanji,20
2,M,numeric,63
2,M,alphanumeric,38
2,M,byte,26
2,M,kanji,16
2,Q,numeric,48
2,Q,alphanumeric,29
2,Q,byte,20
2,Q,kanji,12
2,H,numeric,34
2,H,alphanumeric,20
2,H,byte,14
2,H,kanji,8
3,L,numeric,127
3,L,alphanumeric,77
3,L,byte,53
3,L,kanji,32
3,M,numeric,101
3,M,alphanumeric,61
3,M,byte,42
3,M,kanji,26
3,Q,numeric,77
3,Q,alphanumeric,47
3,Q,byte,32
3,Q,kanji,20
3,H,numeric,58
3,H,alphanumeric,35
3,H,byte,24
3,H,kanji,15
4,L,numeric,187
4,L,alphanumeric,114
4,L,byte,78
4,L,kanji,48
4,M,numeric,149
4,M,alphanumeric,90
4,M,byte,62
4,M,kanji,38
4,Q,numeric,111
4,Q,alphanumeric,67
4,Q,byte,46
4,Q,kanji,28
4,H,numeric,82
4,H,alphanumeric,50
4,H,byte,34
4,H,kanji,21
5,L,numeric,255
5,L,alphanumeric,154
5,L,byte,106
5,L,kanji,65
5,M,numeric,202
5,M,alphanumeric,122
5,M,byte,84
5,M,kanji,52
5,Q,numeric,144
5,Q,alphanumeric,87
5,Q,byte,60
5,Q,kanji,37
5,H,numeric,106
5,H,alphanumeric,64
5,H,byte,44
5,H,kanji,27
6,L,numeric,322
6,L,alphanumeric,195
6,L,byte,134
6,L,kanji,82
6,M,numeric,255
6,M,alphanumeric,154
6,M,byte,106
6,M,kanji,65
6,Q,numeric,178
6,Q,alphanumeric,108
6,Q,byte,74
6,Q,kanji,45
6,H,numeric,139
6,H,alphanumeric,84
6,H,byte,58
6,H,kanji,36
7,L,numeric,370
7,L,alphanumeric,224
7,L,byte,154
7,L,kanji,95
7,M,numeric,293
7,M,alphanumeric,178
7,M,byte,122
7,M,kanji,75
7,Q,numeric,207
7,Q,alphanumeric,125
7,Q,byte,86
7,Q,kanji,53
7,H,numeric,154
7,H,alphanumeric,93
7,H,byte,64
7,H,kanji,39
8,L,numeric,461
8,L,alphanumeric,279
8,L,byte,192
8,L,kanji,118
8,M,numeric,365
8,M,alphanumeric,221
8,M,byte,152
8,M,kanji,93
8,Q,numeric,259
8,Q,alphanumeric,157
8,Q,byte,108
8,Q,kanji,66
8,H,numeric,202
8,H,alphanumeric,122
8,H,byte,84
8,H,kanji,52
9,L,numeric,552
9,L,alphanumeric,335
9,L,byte,230
9,L,kanji,141
9,M,numeric,432
9,M,alphanumeric,262
9,M,byte,180
9,M,kanji,111
9,Q,numeric,312
9,Q,alphanumeric,189
9,Q,byte,130
9,Q,kanji,80
9,H,numeric,235
9,H,alphanumeric,143
9,H,byte,98
9,H,kanji,60
10,L,numeric,652
10,L,alphanumeric,395
10,L,byte,271
10,L,kanji,167
10,M,numeric,513
10,M,alphanumeric,311
10,M,byte,213
10,M,kanji,131
10,Q,numeric,364
10,Q,alphanumeric,221
10,Q,byte,151
10,Q,kanji,93
10,H,numeric,288
10,H,alphanumeric,174
10,H,byte,119
10,H,kanji,74
11,L,numeric,772
11,L,alphanumeric,468
11,L,byte,321
11,L,kanji,198
11,M,numeric,694
11,M,alphanumeric,366
11,M,byte,251
11,M,kanji,155
11,Q,numeric,427
11,Q,alphanumeric,259
11,Q,byte,177
11,Q,kanji,109
11,H,numeric,331
11,H,alphanumeric,200
11,H,byte,137
11,H,kanji,85
12,L,numeric,883
12,L,alphanumeric,535
12,L,byte,367
12,L,kanji,226
12,M,numeric,691
12,M,alphanumeric,419
12,M,byte,287
12,M,kanji,177
12,Q,numeric,489
12,Q,alphanumeric,296
12,Q,byte,203
12,Q,kanji,125
12,H,numeric,374
12,H,alphanumeric,227
12,H,byte,155
12,H,kanji,96
13,L,numeric,1022
13,L,alphanumeric,619
13,L,byte,425
13,L,kanji,262
13,M,numeric,796
13,M,alphanumeric,483
13,M,byte,331
13,M,kanji,204
13,Q,numeric,580
13,Q,alphanumeric,352
13,Q,byte,241
13,Q,kanji,149
13,H,numeric,427
13,H,alphanumeric,259
13,H,byte,177
13,H,kanji,109
